"created_at","text","sentiment"
"2013-01-03 16:45:47","$BAC In @ 12.00 since there is consolidation @ this level. We could close = > 12.09 if market is stable in pm IMHO.","positive"
"2013-01-03 16:48:16","$VRNG Parabolic moves are a comin'","positive"
"2013-01-03 16:52:06","New Sony pre-owned block tech patent unearthed $SNE ... 50% of $GME profits from ""pre owned"" ..last one out turn off the lights","negative"
"2013-01-03 17:01:27","we liked $LVS, we love $WYNN from $111 entry to new up target yesterday at 121. very nice !  URL ","positive"
"2013-01-03 17:37:20","""@user: $SPX 1464.90 Wave iv would be 20 points lower [1467.00 KEY] $ES_F HOD 1460.00 (under neckline 1458.50 very bearish) ""","negative"
"2013-01-03 17:44:45","$DDD consolidating the strong move from previous days between 55 and 60, next buy point above 60 on volume (holding).","positive"
"2013-01-03 17:52:22","$VRNG - 12 mil shares shorts plus long buying = massive VRNG short squeeze. Just when you thought story was dead Ravicher kills short thesis","positive"
"2013-01-03 17:55:09","Wow, not good for $BKS RT @user ... sales for the Nook were down 13% over the holidays URL ","negative"
"2013-01-03 18:12:52","$ACUR from watch list - volume did pick up and is now 139% of full day average -from 200-day bounce  URL ","positive"
"2013-01-03 18:18:11","The new wightwatchers ads are more fun and light and with regular people more interesting, but I still dont trust them $WTW (no position)","negative"
"2013-01-03 18:28:42","$AMZN holding up well - next buy point when clears this upper trend line on heavy volume URL ","positive"
"2013-01-03 18:30:04","$MA exactly what you want to see a follow thru day after breaking out to new highs on volume URL ","positive"
"2013-01-03 18:34:06","$ZLCS @user There's your buying","positive"
"2013-01-03 19:04:09","$AAPL $SPY no more QE for 2013. Now bring the Geithner.","negative"
"2013-01-03 19:09:49","Over extended stock market + unexpected news from the FED minutes = Down $EURUSD & a panicky $ES_F $NQ_F.","negative"
"2013-01-03 19:11:21","$SPY Uncle Ben needed to spice up things a little. $AAPL people were bored, wake up now.","negative"
"2013-01-03 19:18:06","$AAPL might close at the lows of the day. Bears will be in control again below the descending trendline. Watch it.","negative"
"2013-01-03 19:30:41","$FRAN - seeking 200d. Im adding some synthetic shorts here and will add again at 200d.","negative"
"2013-01-03 19:54:37","$CWST low of day 4.50, near high of day 4.56, watchn for b/out, minimal risk","positive"
"2013-01-03 19:54:48","All of the above: $gme Gamestop short targets URL $spy","negative"
"2013-01-03 20:37:58","time to get out of the #cloud stocks $VMW $CRM","negative"
"2013-01-03 21:00:59","$BAC Keep Overniight mmy pos. will bin premarket Tmorrow too.","positive"
"2013-01-03 21:53:21","Polk Expects 2013 U.S. New Vehicle Registrations to Reach 15.3 Million - Polk - URL $F $GM I think this is low","positive"
"2013-01-03 22:08:57","Very bullish on market URL also talked trends for $SCTY $ROST $ANGI $FIO $RL $PANW $UA $JCP $P $YELP $MNST $GRPN on show.","positive"
"2013-01-03 22:45:15","$BAC what happens next? URL ","negative"
"2013-01-03 22:51:24","$KCG someone bought 3.22k $4 Jan 18 Calls....","positive"
"2013-01-03 23:36:46","Man I didnt know about ""Skippy"" when I made this...would have thrown in a jar $HRL #Hormel URL ","positive"
"2013-01-04 00:46:00","Big move in bonds today, 7 months high for 10 y rate, still going lower here $ZN_F, could get truly ugly if good NFP number in AM $SPY $TLT","positive"
"2013-01-04 01:23:50","Market Wrap Video + Additions to Watch List URL including: $BCEI $BJRI $CREE $ES $SONS $SQNM $UNXL $YELP","positive"
"2013-01-04 02:38:40","Maybe when $vrng asked the judge for a 7% royalty it became too risky for $goog to deal with?  they want to settle","positive"
"2013-01-04 03:08:03","$BJRI Over $35.53 if good volume URL ","positive"
"2013-01-04 03:08:33","$CREE Over $35.12 URL ","positive"
"2013-01-04 03:10:34","$SQNM  Over $5.05 URL ","positive"
"2013-01-04 03:10:54","$UNXL On flag break URL ","positive"
"2013-01-04 04:01:54","3D Systems Brings Next-Gen Consumer 3D Printing to CES 2013 URL $DDD","positive"
"2013-01-04 04:24:45","$AAPL will top out in April when Aston Kutcher stars in 'jOBS'.  Kinda like how Facebook did when 'Social Network' came out. $FB","negative"
"2013-01-04 06:39:21","$VRNG w/ MACD turning up & above its signal line, VRNG could post a nice rally from current levels URL ","positive"
"2013-01-04 11:26:12","$PIR 3Q 10Q operational cash flow for 9mos -$20million. 269%decline vs. 9mos year ago.","negative"
"2013-01-04 11:33:03","$bbby 3Q 10Q Operational Cash Flow $135 million. $53 increase vs. year ago Q3. 64% improvement q o q","positive"
"2013-01-04 11:39:38","$DRI 6mos operational cash flow $267 million. increases $187 million vs.6mos year ago. 233% increase","positive"
"2013-01-04 11:46:13","$AM 3Q 10Q 9mos operational cash flow $32 million vs. neg $26 mil 9mos year ago.","positive"
"2013-01-04 11:49:27","$am 3Q operational cash flow neg $16 million.  vs. year ago 3Q of negative $68million.  $52 million improvement","positive"
"2013-01-04 12:59:32","A quiet Carl Icahn = Bullish.  $NFLX shorts should be paranoid on every close as they will get acquired.  Think $aapl, $msft, $amzn, $fb","positive"
"2013-01-04 13:43:17","I am an $aapl bull but cannot break this trend line in OBV  URL ","negative"
"2013-01-04 14:13:17","@user @Phantom7 I've been calling +$4 ever since the start of this thing. $3.75 should be a given~ $KCG","positive"
"2013-01-04 14:37:44","$UNXL on watch list above small flag on volume of 26% of ave full day so good volume URL ","positive"
"2013-01-04 14:40:11","$GOOG poised to clear this next resistance (buy / add area) watch action / volume closely here  URL ","positive"
"2013-01-04 14:42:16","$GDP on watch list slightly over line and 50-day EMA light volume of 5% ave full day  URL ","positive"
"2013-01-04 14:44:53","Took some profits off $DDD, will add if breaks 60 on volume.","positive"
"2013-01-04 14:54:22","$CHK - what I'm looking at - small risk position calls only. Scalp - maybe a swing $XLE watch.  URL ","positive"
"2013-01-04 15:04:11","$ONTY If the holders would just hold out or raise their ask here, this could really pop. Going to climb slowly regardless...","positive"
"2013-01-04 15:05:19","$EOG $PXD $OAS #energyswag","positive"
"2013-01-04 15:09:15","$AAPL moving down with volume. Couldnt cope with the descending trend line. Trend is still down. Perhaps 460 is not impossible after all.","negative"
"2013-01-04 15:09:59","$AAPL 50EMA continue to work as $AAPL is making lower highs in the MACRO sense  URL ","negative"
"2013-01-04 15:11:04","Went short $SPY yesterday, should have picked $AAPL instead. Still think market needs to move down a bit then resume move to the upside.","negative"
"2013-01-04 15:17:07","$AAPL people be realistic. Market undecided what to do with apple. Earnings will lift that cloud. If GOOD we might REALLY see a reversal.","negative"
"2013-01-04 15:18:11","Will watch the close carefully then decide whether to LONG or SHORT $AAPL. Below 530 SHORT!!!","negative"
"2013-01-04 15:18:12","$JCP Keep an eye on this triangle. big short int, 34%. reports Feb 27. cup & handle. at DTL. Long URL ","positive"
"2013-01-04 15:20:05","sold a little $goog ...first time in a while","positive"
"2013-01-04 15:23:45","Nice cup with handle breakout on $LMCA","positive"
"2013-01-04 15:28:40","$FAF new highs.","positive"
"2013-01-04 15:28:56","$SPY giving $AAPL the finger. We don't care about you anymore lol","negative"
"2013-01-04 15:30:29","The Smith&Corona doing ok. $AMZN","positive"
"2013-01-04 15:31:41","$VAL - Long @ 43.07. Trailing Stop @ 58.98 from 11 Stops of 54.53, 52.45, 48.05, 47.32, 46.71, ... 41.32 & 39.57 - URL ","positive"
"2013-01-04 15:34:54","$AMZN alert update: a last minute push tried to shake out puts. we're hanging on for now. URL ","negative"
"2013-01-04 15:37:42","$AAPL volume higher today than monday. Keep that in mind.","negative"
"2013-01-04 15:41:05","$HUB.A - Long @ 73.67. Trailing Stop @ 71.92 from 3 prior Stops of 70.86, 68.64 and 62.41 - URL ","positive"
"2013-01-04 15:55:15","The key is not to panic here.  $AAPL is in the domain of twitchy day traders on robots now, but long term should hold up on fundamentals","positive"
"2013-01-04 15:55:42","$NVDA 4 hour - love to see the vol explode.  URL ","positive"
"2013-01-04 16:18:14","$VRNG - Take a hard look at $GOOG FTC settlement over patents.  FTC making $GOOG play nice with $VRNG?  Makes Sense URL ","positive"
"2013-01-04 17:05:14","some worried I had gone LOCO with my 737.71 up call for $GOOG ! now at door step of nearly $40 move URL ","positive"
"2013-01-04 17:09:32","$VRNG its crazy that anyone listens and trades off this tool.","positive"
"2013-01-04 17:15:00","$GOOG  is getting fueled by $AAPL's reversal.","positive"
"2013-01-04 17:19:59","@user why make a $BBY offer now when he can shave $4 more off offer price? Bid went from $24-$26 to just $20 in a matter of months.","negative"
"2013-01-04 17:30:54","$NVDA - to answer your question entry (add) was the red candle at 10:50AM today. Love flags URL ","positive"
"2013-01-04 17:33:55","$AAPL 950 lot bid in the Feb 580 call at 9.50, might push the stock up or create support. 26 delta option","positive"
"2013-01-04 17:47:16","$WPI - was on our short candidate list 12/31 and we missed it, got started short today","negative"
"2013-01-04 18:26:41","$MYE breaking out","positive"
"2013-01-04 18:30:42","Short $RHT under the 200 SMA stop just over the high of the day. First target $53.95. Second target $53.21 gap fill.","negative"
"2013-01-04 18:31:54","$QCOM introduces StreamBoost: URL ""average home connects up to seven devices to the Internet""","positive"
"2013-01-04 18:59:25","$NVDA love to see momo this next week like previous histogram bars noted.  URL ","negative"
"2013-01-04 19:15:13","$HMA unusual option activity. Trader buys 11k of the Jan 9 Put. Short term bear play","negative"
"2013-01-04 19:19:49","$ADBE option trader buys 5,300 of the Feb 39C against OI of 741. Bet is on stock above $39 by Feb 16th","positive"
"2013-01-04 19:30:24","$NVDA Looks bullish but it must stay above $13.05 on a closing basis (monthly), EPS say no? URL ","negative"
"2013-01-04 19:38:04","$SQNM from watch list over line on volume of 86% of ave full day URL ","positive"
"2013-01-04 19:43:30","$HOTT Failed breakout? URL ","negative"
"2013-01-04 19:50:01","$ZN_F ticking up.. I'd be a seller of $USDJPY here (*if I weren't already)...","negative"
"2013-01-04 19:54:21","$INO Wow, nice accumulation today, heavy...","positive"
"2013-01-04 20:05:35","$ZNGA Fat juicy Short back to lower levels as it closes Gap @ 2.72? URL ","negative"
"2013-01-04 20:09:46","$GDOT nice bounce from its 50SMA. Looks ready to test the recent highs URL ","positive"
"2013-01-04 20:12:13","$HMA Looking for 10's; headed higher! URL ","positive"
"2013-01-04 20:22:06","$SPF Looking for 9's, headed higher with lower rates. URL ","positive"
"2013-01-04 20:22:23","$GS $JPM $XLF HOD, they are hungry for stocks out there... $SPY","positive"
"2013-01-04 20:31:43","$CHK weekly bullish engulfing  URL ","positive"
"2013-01-04 20:51:22","$GS looks good heading into next week.","positive"
"2013-01-04 21:00:13","$AAPL all i know is ipad minis are out of stock everywhere. been going to 8 different stores and none of them have em in stock","positive"
"2013-01-04 21:07:08","As $goog explodes and $aapl implodes MINUTE 21 to 23 of @user vid from a few years ago have Mark nailing the subject URL ","positive"
"2013-01-04 21:35:05","$KKD Krispy Kreme Doughnuts, Inc. at ICR XChange Conference (Live) 01/17/13 at 9:15 a.m. ET","positive"
"2013-01-04 21:50:31","Picked up $FSLR on pullback due to downgrade. Held support to close week. First PT 37.30 URL ","positive"
"2013-01-04 21:55:40","""@user: I've been picking this one for a while, but I'm calling $KKD as the next food company to make a $DPZ like run in $TWENTY13.""","positive"
"2013-01-04 22:17:00","$ZNGA Still shows red and dead on a Renko view, PF Box size 0.25 URL ","negative"
"2013-01-04 22:23:53","$GS Renko view of GS, PF Box size = $5 showing potential to break to $175 URL ","positive"
"2013-01-04 22:30:50","$NVDA Renko view showing red and dead, need 14 or more for a long & less than 13 for a short URL ","negative"
"2013-01-04 22:49:13","$CSX Renko view, PF Box size = $1,  VERY bullish above $21, coal stocks confirming move on rails. URL ","positive"
"2013-01-04 22:53:06","$GOOG And on Renko w/ a PF Box size of $50 it looks like a failed breakout URL ","negative"
"2013-01-04 22:58:36","@user At $155 for $GS but very bullish on fins as rates are low = The FED Put!","positive"
"2013-01-04 23:48:45","@user $ZNGA I use lagging indicators on lagging stocks ;)","negative"
"2013-01-04 23:59:20","$GOOG, I like it with a close above $744.96","positive"
"2013-01-05 00:54:11","$FSLR b/o above bull flag on heavy vol. Retest of support today on light vol. 41% short float URL ","positive"
"2013-01-05 00:57:05","$MSFT gap close. Continues base. RSI rising. Nice R:R pickup w/ stop below major support & 28.22 PT. URL ","positive"
"2013-01-05 00:59:56","Financials continue ripping. Easy money. $C approaching 43 PT URL ","positive"
"2013-01-05 01:15:32","$LVS follow throughs. 10 DMA crossing above 200 DMA. Trading above all MA's. Great setup URL ","positive"
"2013-01-05 02:03:17","@user $BAC Yeah ... they made the easy profits by slashing jobs, now they have to close win-win sales.","negative"
"2013-01-05 02:10:59","New buys today from watch list all did well $ UNXL 20% $SONS $YELP  $BCEI  $GDP  $ARRY and $SQNM Total triggers this week 39 - a big week","positive"
"2013-01-05 02:42:04","$SBUX  #SRI #EarthThis is the kind of stuff that makes us perk up (so sorry!).but, go on...bullish five waves to 58.   URL ","positive"
"2013-01-05 04:40:35","Can you say no brainier? Long $SBAC stock, 60/80 Feb collar for protection... URL ","positive"
"2013-01-05 09:00:49","Anyone can say how much $svu would go even if the deal goes through? $4? $5? Not sure if much upside left.","positive"
"2013-01-05 09:09:04","$NVDA the bounce continues and the stock has now cleared its 200SMA and the $13 level. Long  URL ","positive"
"2013-01-05 09:14:27","$AXTI Momentum picking up w/ MACD climbing/RSI rising.OBV indicator made a new higher high this week URL ","positive"
"2013-01-05 09:37:02","$GDOT OBV is moving upwards which means that big money is moving into the stock slowly. Long URL ","positive"
"2013-01-05 11:05:10","$aapl daily (see notes) URL ","positive"
"2013-01-05 12:37:31","$AMZN daily (see notes) URL ","positive"
"2013-01-05 13:16:31","$C daily (see notes)  URL ","positive"
"2013-01-05 15:26:57","$EGOV long 16.62 strong above all MA's, resting/basing, room to upper bolly to absorb 10/20 day atr URL ","positive"
"2013-01-05 16:12:08","$AA Fibs R UR Friends  URL ","positive"
"2013-01-05 16:50:26","$TSLA: Judge Dismisses Massachusetts State Automobile Dealers Association Lawsuit - URL ","positive"
"2013-01-05 17:46:15","$BAC up trending doesn't appear to slow down as of yet. It's prudent to take some profit at time. URL ","positive"
"2013-01-05 18:38:59","$FE - looks like it fired a sell signal Friday, may trade this short on tick below Friday low - have to do more work on utilities later...","negative"
"2013-01-05 20:48:05","$coh also got rejected by cloud but still in slight uptrend for past few. buy when it enters cloud URL ","positive"
"2013-01-05 20:49:13","$yum looks good here out of cloud with stops of either 200 sma or cloud under it. target of 50 sma URL ","positive"
"2013-01-05 21:20:37","$EQIX $EXPE $FB $GS $HOG $MON $PII $QCOM $QIHU $SODA Some ideas for next week.  Favorite setup is $EQIX URL ","positive"
"2013-01-05 21:23:59","$EQIX No position, would like to see a breakout over $216.50. Prefer more consolidation though URL ","positive"
"2013-01-05 22:24:34","Time for a contraction in $AAPL.down to test 500 this week by Weds.long Jan11th 510/500 put spread URL ","negative"
"2013-01-05 22:36:34","$AAPL Bounce Coming?  URL ","positive"
"2013-01-05 22:55:37","$FSLR en fuego!!  URL ","positive"
"2013-01-05 23:40:42","$ALXA Over-Sold in Oscillating Range....indicators suggest buy price holds above prev close + increase in volume.","positive"
"2013-01-06 01:57:31","A few I'm not holding but will check out. ""@user: Bullish MACD cross: $BBG $COP $ENI $EOG $JEC $RIG $SFY $XLE $XOP""","positive"
"2013-01-06 06:27:53","$JDSU beautiful trend, 13.5 should bring out the dip buyers","positive"
"2013-01-06 16:38:56","$ko has trouble staying above 200 day sma past few weeks. could short here or higher stops above 38 URL ","negative"
"2013-01-06 16:47:06","$mako a red day monday breaks support and could test old lows of 9-9.25 URL ","negative"
"2013-01-06 17:11:06","After-hour Most Advanced: $OPTR $MAKO $FOLD $GNMK $JDSU $EGLE $AMRN $PRXL $ARAY $DDD $SVU $RPM $BKS $LF","positive"
"2013-01-06 18:00:29","$GOOG with simple Fibonacci projections on close over 739. 127.2% at 766 and 161.8% at 802 URL ","positive"
"2013-01-06 18:32:38","Why I am buying $AAPL on Monday - URL ","positive"
"2013-01-06 21:31:18","""@user: $AMZN over 263 has a Measured Move to 307 URL ","positive"
"2013-01-06 23:38:36","@user The $INO pipeline and the partnerships with the Uni's and $MRK--that pretty much sums it up...","positive"
"2013-01-07 00:13:39","$AMZN the data company, not the retailer.  A new post by me.  URL ","positive"
"2013-01-07 00:47:29","Trading environment favors long side. Don't over stay welcome. Too few quality leaders. $GS $ARMH $OCN $REGN $HOV $AAPL URL ","negative"
"2013-01-07 00:49:49","$AAPL what an amazing run it has been since 2005. I don't think it's over.  URL ","positive"
"2013-01-07 01:17:03","A Tale of Two Stocks URL $AAPL $GOOG $SPY $QQQ","positive"
"2013-01-07 01:29:19","$F Ford's Powerful Bullish Pattern Dictates Price Direction URL ","positive"
"2013-01-07 01:46:46","$DLTR - Descending triangle. Lower highs. Didn't participate well in the rally & it's overbought.  URL ","negative"
"2013-01-07 01:53:59","$CVA Over $19.00 URL ","positive"
"2013-01-07 01:56:55","$MCK  Over $100.05 -  URL ","positive"
"2013-01-07 02:02:04","$VMED you know we prefer 3-4 day pullback to reverse so maybe Mon or Tuesday on flag break or at sup URL ","positive"
"2013-01-07 02:50:52","Just kidding, more legible version. Currently long $FSLR (tweeted on friday) URL ","positive"
"2013-01-07 02:53:06","Ford will perform well due to Hurricane Sandy's destruction. $F Palladium will do well $PALL Banks are a buy picks are $BAC $C $SAN $GS","positive"
"2013-01-07 03:55:00","$GS is a buy on pullback to 133 or on bigger pullback to 130.","positive"
